clip_id,path,reference_text,accent_group,noise_condition
us_000_clean,data/audio\us_000_clean.wav,By hook or by crook.,us,clean
us_000_snr10,data/audio\us_000_snr10.wav,By hook or by crook.,us,snr10
us_000_snr0,data/audio\us_000_snr0.wav,By hook or by crook.,us,snr0
us_001_clean,data/audio\us_001_clean.wav,See you later!,us,clean
us_001_snr10,data/audio\us_001_snr10.wav,See you later!,us,snr10
us_001_snr0,data/audio\us_001_snr0.wav,See you later!,us,snr0
us_002_clean,data/audio\us_002_clean.wav,A deputy representative,us,clean
us_002_snr10,data/audio\us_002_snr10.wav,A deputy representative,us,snr10
us_002_snr0,data/audio\us_002_snr0.wav,A deputy representative,us,snr0
us_003_clean,data/audio\us_003_clean.wav,Did you see any ghosts?,us,clean
us_003_snr10,data/audio\us_003_snr10.wav,Did you see any ghosts?,us,snr10
us_003_snr0,data/audio\us_003_snr0.wav,Did you see any ghosts?,us,snr0
us_004_clean,data/audio\us_004_clean.wav,I'm planning to buy some topological maps for my research.,us,clean
us_004_snr10,data/audio\us_004_snr10.wav,I'm planning to buy some topological maps for my research.,us,snr10
us_004_snr0,data/audio\us_004_snr0.wav,I'm planning to buy some topological maps for my research.,us,snr0
us_005_clean,data/audio\us_005_clean.wav,"She has always been very kind and friendly to everyone, even strangers.",us,clean
us_005_snr10,data/audio\us_005_snr10.wav,"She has always been very kind and friendly to everyone, even strangers.",us,snr10
us_005_snr0,data/audio\us_005_snr0.wav,"She has always been very kind and friendly to everyone, even strangers.",us,snr0
us_006_clean,data/audio\us_006_clean.wav,Have you seen it?,us,clean
us_006_snr10,data/audio\us_006_snr10.wav,Have you seen it?,us,snr10
us_006_snr0,data/audio\us_006_snr0.wav,Have you seen it?,us,snr0
us_007_clean,data/audio\us_007_clean.wav,How can you tell?,us,clean
us_007_snr10,data/audio\us_007_snr10.wav,How can you tell?,us,snr10
us_007_snr0,data/audio\us_007_snr0.wav,How can you tell?,us,snr0
us_008_clean,data/audio\us_008_clean.wav,Four women competing in beach volleyball beside a large body of water.,us,clean
us_008_snr10,data/audio\us_008_snr10.wav,Four women competing in beach volleyball beside a large body of water.,us,snr10
us_008_snr0,data/audio\us_008_snr0.wav,Four women competing in beach volleyball beside a large body of water.,us,snr0
us_009_clean,data/audio\us_009_clean.wav,People sitting on a street while drinking.,us,clean
us_009_snr10,data/audio\us_009_snr10.wav,People sitting on a street while drinking.,us,snr10
us_009_snr0,data/audio\us_009_snr0.wav,People sitting on a street while drinking.,us,snr0
india_000_clean,data/audio\india_000_clean.wav,"The combination of trumpets, violins and a drum set is quite unusual.",india,clean
india_000_snr10,data/audio\india_000_snr10.wav,"The combination of trumpets, violins and a drum set is quite unusual.",india,snr10
india_000_snr0,data/audio\india_000_snr0.wav,"The combination of trumpets, violins and a drum set is quite unusual.",india,snr0
india_001_clean,data/audio\india_001_clean.wav,A scientist in a lab coat is using a microscope.,india,clean
india_001_snr10,data/audio\india_001_snr10.wav,A scientist in a lab coat is using a microscope.,india,snr10
india_001_snr0,data/audio\india_001_snr0.wav,A scientist in a lab coat is using a microscope.,india,snr0
india_002_clean,data/audio\india_002_clean.wav,"A group of people, one of them with a guitar, were sitting by the campfire and singing songs.",india,clean
india_002_snr10,data/audio\india_002_snr10.wav,"A group of people, one of them with a guitar, were sitting by the campfire and singing songs.",india,snr10
india_002_snr0,data/audio\india_002_snr0.wav,"A group of people, one of them with a guitar, were sitting by the campfire and singing songs.",india,snr0
india_003_clean,data/audio\india_003_clean.wav,Wait a minute!,india,clean
india_003_snr10,data/audio\india_003_snr10.wav,Wait a minute!,india,snr10
india_003_snr0,data/audio\india_003_snr0.wav,Wait a minute!,india,snr0
india_004_clean,data/audio\india_004_clean.wav,Valgrind detected multiple memory leaks.,india,clean
india_004_snr10,data/audio\india_004_snr10.wav,Valgrind detected multiple memory leaks.,india,snr10
india_004_snr0,data/audio\india_004_snr0.wav,Valgrind detected multiple memory leaks.,india,snr0
india_005_clean,data/audio\india_005_clean.wav,She lost her sight in a childhood accident.,india,clean
india_005_snr10,data/audio\india_005_snr10.wav,She lost her sight in a childhood accident.,india,snr10
india_005_snr0,data/audio\india_005_snr0.wav,She lost her sight in a childhood accident.,india,snr0
india_006_clean,data/audio\india_006_clean.wav,Presumably Ryan never did any sanity checks.,india,clean
india_006_snr10,data/audio\india_006_snr10.wav,Presumably Ryan never did any sanity checks.,india,snr10
india_006_snr0,data/audio\india_006_snr0.wav,Presumably Ryan never did any sanity checks.,india,snr0
india_007_clean,data/audio\india_007_clean.wav,Boris the lion cried like a donkey.,india,clean
india_007_snr10,data/audio\india_007_snr10.wav,Boris the lion cried like a donkey.,india,snr10
india_007_snr0,data/audio\india_007_snr0.wav,Boris the lion cried like a donkey.,india,snr0
india_008_clean,data/audio\india_008_clean.wav,"Jerk the cord, and out tumbles the gold.",india,clean
india_008_snr10,data/audio\india_008_snr10.wav,"Jerk the cord, and out tumbles the gold.",india,snr10
india_008_snr0,data/audio\india_008_snr0.wav,"Jerk the cord, and out tumbles the gold.",india,snr0
india_009_clean,data/audio\india_009_clean.wav,Curly brackets are hard to type.,india,clean
india_009_snr10,data/audio\india_009_snr10.wav,Curly brackets are hard to type.,india,snr10
india_009_snr0,data/audio\india_009_snr0.wav,Curly brackets are hard to type.,india,snr0
german_000_clean,data/audio\german_000_clean.wav,In winter the lake completely freezes and is used for winter sports.,german,clean
german_000_snr10,data/audio\german_000_snr10.wav,In winter the lake completely freezes and is used for winter sports.,german,snr10
german_000_snr0,data/audio\german_000_snr0.wav,In winter the lake completely freezes and is used for winter sports.,german,snr0
german_001_clean,data/audio\german_001_clean.wav,His other hobbies include hiking and playing guitar.,german,clean
german_001_snr10,data/audio\german_001_snr10.wav,His other hobbies include hiking and playing guitar.,german,snr10
german_001_snr0,data/audio\german_001_snr0.wav,His other hobbies include hiking and playing guitar.,german,snr0
german_002_clean,data/audio\german_002_clean.wav,The bid was eventually dropped.,german,clean
german_002_snr10,data/audio\german_002_snr10.wav,The bid was eventually dropped.,german,snr10
german_002_snr0,data/audio\german_002_snr0.wav,The bid was eventually dropped.,german,snr0
german_003_clean,data/audio\german_003_clean.wav,"Born in Cramlington, Northumberland, Brittain started his career at Newcastle United as a youngster.",german,clean
german_003_snr10,data/audio\german_003_snr10.wav,"Born in Cramlington, Northumberland, Brittain started his career at Newcastle United as a youngster.",german,snr10
german_003_snr0,data/audio\german_003_snr0.wav,"Born in Cramlington, Northumberland, Brittain started his career at Newcastle United as a youngster.",german,snr0
german_004_clean,data/audio\german_004_clean.wav,"Capturing the crater, he found Lieutenant Harold Hereward Bieske at the bottom wounded.",german,clean
german_004_snr10,data/audio\german_004_snr10.wav,"Capturing the crater, he found Lieutenant Harold Hereward Bieske at the bottom wounded.",german,snr10
german_004_snr0,data/audio\german_004_snr0.wav,"Capturing the crater, he found Lieutenant Harold Hereward Bieske at the bottom wounded.",german,snr0
german_005_clean,data/audio\german_005_clean.wav,"Pitch pine is currently used mainly for rough construction, pulp, crating, and fuel.",german,clean
german_005_snr10,data/audio\german_005_snr10.wav,"Pitch pine is currently used mainly for rough construction, pulp, crating, and fuel.",german,snr10
german_005_snr0,data/audio\german_005_snr0.wav,"Pitch pine is currently used mainly for rough construction, pulp, crating, and fuel.",german,snr0
german_006_clean,data/audio\german_006_clean.wav,This view is not shared by all religious scholars.,german,clean
german_006_snr10,data/audio\german_006_snr10.wav,This view is not shared by all religious scholars.,german,snr10
german_006_snr0,data/audio\german_006_snr0.wav,This view is not shared by all religious scholars.,german,snr0
german_007_clean,data/audio\german_007_clean.wav,"Brue has since referred to the original sale as part of his ""biggest mistake"".",german,clean
german_007_snr10,data/audio\german_007_snr10.wav,"Brue has since referred to the original sale as part of his ""biggest mistake"".",german,snr10
german_007_snr0,data/audio\german_007_snr0.wav,"Brue has since referred to the original sale as part of his ""biggest mistake"".",german,snr0
german_008_clean,data/audio\german_008_clean.wav,The Thursday of Mid-Lent is known as the Day of the Old Wives.,german,clean
german_008_snr10,data/audio\german_008_snr10.wav,The Thursday of Mid-Lent is known as the Day of the Old Wives.,german,snr10
german_008_snr0,data/audio\german_008_snr0.wav,The Thursday of Mid-Lent is known as the Day of the Old Wives.,german,snr0
german_009_clean,data/audio\german_009_clean.wav,"Eagleson was born in Los Angeles, California, and educated in the public schools.",german,clean
german_009_snr10,data/audio\german_009_snr10.wav,"Eagleson was born in Los Angeles, California, and educated in the public schools.",german,snr10
german_009_snr0,data/audio\german_009_snr0.wav,"Eagleson was born in Los Angeles, California, and educated in the public schools.",german,snr0
